timestamp,video_id,category,language,region,duration_sec,views,likes,comments,shares,sentiment_score,ads_enabled
2024-09-14 05:08:02,VID000001,News,Korean,Europe,1525,66259,5185,1070,420,-0.4648,False
2025-08-09 12:23:26,VID000002,Music,Korean,Oceania,3049,320025,24947,4554,2935,-0.679,True
2024-03-04 14:39:48,VID000003,Sports,Hindi,South Asia,3264,43536,2688,1196,586,-0.0425,False
2025-05-04 11:05:26,VID000004,Tech,French,South Asia,3256,19927,2203,504,293,0.7939,True
2024-09-22 20:22:31,VID000005,News,Spanish,East Asia,1892,94050,7911,1522,459,0.2538,True
2024-07-03 11:35:49,VID000006,Travel,Spanish,Africa,279,23891,815,840,42,-0.7573,False
2024-02-26 12:47:42,VID000007,Gaming,English,Oceania,2669,48438,5400,1685,538,-0.9025,False
2025-12-06 09:48:18,VID000008,News,Spanish,Oceania,1569,46474,1249,944,331,0.346,False
2025-06-30 06:27:25,VID000009,Sports,English,Europe,60,1186167,48249,9747,13904,-0.3194,True
2025-04-06 23:44:44,VID000010,Tech,Korean,South Asia,844,36324,3797,291,338,-0.0838,True
2024-06-20 02:09:44,VID000011,Music,German,East Asia,2381,50400,1325,1997,505,-0.9319,True
2025-04-22 08:40:51,VID000012,Sports,Spanish,Latin America,987,12098,941,158,125,0.8825,False
2025-03-07 14:12:20,VID000013,Sports,Japanese,Europe,1958,37186,3960,840,571,-0.0382,True
2025-04-29 03:12:43,VID000014,Gaming,Japanese,Oceania,3238,50008,5857,636,130,-0.5536,False
2025-07-27 03:58:22,VID000015,Vlog,Spanish,South Asia,3028,1340,89,40,26,0.435,True
2024-06-09 03:20:06,VID000016,Tech,Portuguese,East Asia,107,160651,12947,3355,924,-0.1451,False
2024-01-19 12:19:06,VID000017,Entertainment,Korean,Europe,3591,69802,6295,379,1044,-0.8007,False
2025-08-31 10:26:55,VID000018,Sports,Spanish,Europe,3500,245955,14179,4655,4192,-0.9127,True
2024-04-14 23:14:50,VID000019,Vlog,Portuguese,East Asia,3187,422519,49564,15323,5898,0.3398,True
2024-07-14 10:38:27,VID000020,Entertainment,English,Africa,1143,273971,17999,3572,2568,-0.0161,False
2025-05-15 17:00:54,VID000021,Tech,Hindi,South Asia,2960,290018,10476,3223,4046,0.6509,True
2024-10-19 15:17:17,VID000022,Education,French,East Asia,1546,2197,250,39,25,0.792,True
2024-12-27 03:57:47,VID000023,Travel,Hindi,Europe,2683,7307,392,192,73,-0.5344,False
2024-04-10 17:34:53,VID000024,Vlog,Portuguese,Africa,1880,18575,816,282,79,0.6778,False
2024-01-23 18:08:57,VID000025,Comedy,Portuguese,Europe,2042,244858,9936,5485,332,0.9496,True
2024-06-03 19:08:50,VID000026,Education,Spanish,Europe,653,272480,28345,4728,893,-0.5366,False
2024-09-29 13:39:01,VID000027,Travel,Japanese,Middle East,3510,16250,1149,448,226,0.2785,True
2025-09-04 15:14:36,VID000028,Gaming,German,South Asia,550,211142,22661,5260,1451,-0.7457,True
2024-01-30 03:57:43,VID000029,News,Portuguese,Middle East,1896,268999,26173,7919,2866,0.4396,False
2024-01-06 19:57:53,VID000030,Music,English,Oceania,178,167073,12056,6414,1852,0.6694,True
2025-06-28 15:50:43,VID000031,Comedy,Portuguese,East Asia,104,51406,3579,800,975,0.4105,True
2025-12-25 12:09:49,VID000032,Gaming,German,Latin America,1310,9352,631,270,161,0.9958,True
2024-07-31 19:17:45,VID000033,Tech,Hindi,Europe,2389,7174,690,271,115,0.395,True
2024-08-07 20:31:57,VID000034,Gaming,Spanish,Middle East,1761,904584,75604,35752,5609,0.181,False
2024-11-16 10:10:38,VID000035,News,English,Middle East,3335,4900,270,177,12,-0.5888,True
2025-10-27 05:31:21,VID000036,Tech,English,Europe,1805,26460,1780,321,485,0.9204,False
2025-01-05 20:21:27,VID000037,Comedy,Korean,Latin America,588,17248,1436,406,120,0.229,True
2025-08-04 21:02:29,VID000038,News,French,South Asia,3113,39794,2796,939,370,0.9213,False
2024-02-14 21:28:33,VID000039,Entertainment,Japanese,Latin America,1130,194475,11891,3478,1323,0.3936,False
2024-03-18 05:03:13,VID000040,Music,English,Middle East,1463,62068,5550,2478,765,0.8329,True
2025-11-11 14:00:00,VID000041,Comedy,German,East Asia,1363,46815,5088,291,389,-0.1479,False
2025-01-10 07:41:14,VID000042,Entertainment,Spanish,South Asia,591,29058,3294,1115,388,0.4835,False
2024-06-18 23:09:38,VID000043,Travel,Japanese,East Asia,3596,12052,421,468,91,-0.0554,True
2024-09-14 00:41:00,VID000044,Comedy,French,Europe,2214,633594,32213,15856,738,0.7097,False
2025-06-30 00:44:11,VID000045,Travel,Spanish,Africa,2928,94762,6774,1622,1460,-0.687,True
2024-11-30 11:09:44,VID000046,Tech,Korean,Latin America,2278,9637,1025,76,176,0.3911,False
2024-05-09 19:00:08,VID000047,Entertainment,French,North America,2287,164620,8537,4179,433,-0.1774,False
